0 19 13 11 10 14 13 20 11 13 16 15 16 18 14 14 10 14 12 16 
19 0 17 12 11 17 11 20 19 13 20 14 14 15 13 20 13 18 17 16 
13 17 0 19 10 14 20 18 14 20 13 20 19 19 11 15 15 12 10 19 
11 12 19 0 17 15 10 12 12 20 18 20 12 19 15 19 19 14 17 18 
10 11 10 17 0 15 20 13 18 14 19 10 12 10 19 10 15 13 11 15 
14 17 14 15 15 0 19 14 12 14 11 20 18 20 19 14 19 15 16 13 
13 11 20 10 20 19 0 12 20 14 13 13 13 20 17 13 12 16 18 12 
20 20 18 12 13 14 12 0 20 10 19 19 20 13 20 13 19 10 13 11 
11 19 14 12 18 12 20 20 0 17 15 19 16 12 14 15 18 18 19 20 
13 13 20 20 14 14 14 10 17 0 12 11 20 10 16 19 19 14 13 10 
16 20 13 18 19 11 13 19 15 12 0 20 17 16 12 17 12 13 20 14 
15 14 20 20 10 20 13 19 19 11 20 0 18 20 20 10 19 17 14 17 
16 14 19 12 12 18 13 20 16 20 17 18 0 19 20 11 20 19 17 15 
18 15 19 19 10 20 20 13 12 10 16 20 19 0 15 17 19 20 17 11 
14 13 11 15 19 19 17 20 14 16 12 20 20 15 0 13 18 11 15 18 
14 20 15 19 10 14 13 13 15 19 17 10 11 17 13 0 13 15 20 14 
10 13 15 19 15 19 12 19 18 19 12 19 20 19 18 13 0 16 11 19 
14 18 12 14 13 15 16 10 18 14 13 17 19 20 11 15 16 0 18 11 
12 17 10 17 11 16 18 13 19 13 20 14 17 17 15 20 11 18 0 14 
16 16 19 18 15 13 12 11 20 10 14 17 15 11 18 14 19 11 14 0 
